图片名称,食物名称,置信度,识别耗时(秒),热量(kcal),蛋白质(g),脂肪(g),碳水化合物(g)
img-104-133264t1.jpg,中式煎蛋,98.1%,0.01,150,12,11,2
img-104-133264t2.jpg,中式煎蛋,99.9%,0.01,150,12,11,2
img-104-133269t1.jpg,中式煎蛋,67.9%,0.01,150,12,11,2
img-104-133269t2.jpg,油炸虾,83.3%,0.01,220,15,12,15
img-104-181495t1.jpg,中式煎蛋,75.2%,0.01,150,12,11,2
img-104-181495t2.jpg,中式煎蛋,99.3%,0.01,150,12,11,2
img-104-181538t1.jpg,亲子丼,55.5%,0.01,500,30,20,45
img-104-181538t2.jpg,中式煎蛋,99.8%,0.01,150,12,11,2
img-104-181612t1.jpg,中式煎蛋,90.1%,0.01,150,12,11,2
img-104-181612t2.jpg,中式煎蛋,72.2%,0.01,150,12,11,2
img-104-181904t1.jpg,千层面,50.7%,0.01,400,25,20,30
img-104-181904t2.jpg,千层面,85.6%,0.01,400,25,20,30
img-104-307711t1.jpg,麻婆豆腐,67.6%,0.01,200,12,12,10
img-104-307711t2.jpg,中式煎蛋,89.4%,0.01,150,12,11,2
img-104-307822t1.jpg,中式煎蛋,100.0%,0.01,150,12,11,2
img-104-307822t2.jpg,中式煎蛋,99.8%,0.01,150,12,11,2
img-104-308344t1.jpg,中式煎蛋,87.4%,0.01,150,12,11,2
img-104-308344t2.jpg,酱汁鸡肉盖饭,42.4%,0.01,580,28,22,65
img-104-308708t1.jpg,中式煎蛋,48.4%,0.01,150,12,11,2
img-104-308708t2.jpg,西班牙海鲜饭,44.9%,0.01,500,30,20,50
img-104-308879t1.jpg,中式煎蛋,92.0%,0.01,150,12,11,2
img-104-308879t2.jpg,中式煎蛋,99.8%,0.01,150,12,11,2
img-105-119338t1.jpg,炸鸡腿,99.1%,0.01,320,20,18,15
img-105-119338t2.jpg,炸鸡腿,99.7%,0.01,320,20,18,15
img-105-119348t1.jpg,炸鸡腿,94.1%,0.01,320,20,18,15
img-105-119348t2.jpg,千层面,74.2%,0.01,400,25,20,30
img-105-119469t1.jpg,炸鸡腿,84.0%,0.01,320,20,18,15
img-105-119469t2.jpg,炸鸡腿,82.1%,0.01,320,20,18,15
img-105-119527t1.jpg,炸鸡腿,90.5%,0.01,320,20,18,15
img-105-119527t2.jpg,炸鸡腿,83.4%,0.01,320,20,18,15
img-105-205357t1.jpg,炸鸡腿,52.0%,0.01,320,20,18,15
img-105-205357t2.jpg,炸鸡腿,99.8%,0.01,320,20,18,15
img-105-243420t1.jpg,法式吐司,60.1%,0.01,230,8,10,28
img-105-243420t2.jpg,炸鸡腿,96.6%,0.01,320,20,18,15
img-105-244194t1.jpg,炸虾,49.8%,0.01,220,15,12,15
img-105-244194t2.jpg,炸鸡腿,69.1%,0.01,320,20,18,15
img-105-244693t1.jpg,炸鸡腿,59.7%,0.01,320,20,18,15
img-105-244693t2.jpg,炸鸡腿,78.0%,0.01,320,20,18,15
img-105-266249t1.jpg,炸春卷,55.5%,0.01,200,6,12,18
img-105-266249t2.jpg,炸春卷,73.1%,0.01,200,6,12,18
img-105-266277t1.jpg,炸鸡腿,99.4%,0.01,320,20,18,15
img-105-266277t2.jpg,炸鸡腿,100.0%,0.01,320,20,18,15
img-106-133647t1.jpg,酱汁鸡肉盖饭,83.1%,0.01,580,28,22,65
img-106-133647t2.jpg,酱汁鸡肉盖饭,89.6%,0.01,580,28,22,65
img-106-133662t1.jpg,酱汁鸡肉盖饭,36.4%,0.01,580,28,22,65
img-106-133662t2.jpg,酱汁鸡肉盖饭,97.4%,0.01,580,28,22,65
img-106-139354t1.jpg,酱汁鸡肉盖饭,92.9%,0.01,580,28,22,65
img-106-139354t2.jpg,酱汁鸡肉盖饭,96.3%,0.01,580,28,22,65
img-106-180450t1.jpg,酱汁鸡肉盖饭,96.7%,0.01,580,28,22,65
img-106-180450t2.jpg,酱汁鸡肉盖饭,88.2%,0.01,580,28,22,65
img-106-180662t1.jpg,酱汁鸡肉盖饭,99.4%,0.01,580,28,22,65
img-106-180662t2.jpg,酱汁鸡肉盖饭,96.0%,0.01,580,28,22,65
img-106-180818t1.jpg,酱汁鸡肉盖饭,71.2%,0.01,580,28,22,65
img-106-180818t2.jpg,酱汁鸡肉盖饭,100.0%,0.01,580,28,22,65
img-106-201777t1.jpg,酱汁鸡肉盖饭,99.8%,0.01,580,28,22,65
img-106-201777t2.jpg,酱汁鸡肉盖饭,59.5%,0.01,580,28,22,65
img-106-266202t1.jpg,红烧肉盖饭,45.6%,0.01,700,40,35,60
img-106-266202t2.jpg,酱汁鸡肉盖饭,74.9%,0.01,580,28,22,65
img-106-314764t1.jpg,酱汁鸡肉盖饭,99.3%,0.01,580,28,22,65
img-106-314764t2.jpg,酱汁鸡肉盖饭,64.9%,0.01,580,28,22,65
img-107-133145t1.jpg,烧腊盖饭,99.6%,0.01,650,35,30,55
img-107-133145t2.jpg,烧腊盖饭,100.0%,0.01,650,35,30,55
img-107-133186t1.jpg,墨西哥卷饼,34.4%,0.01,300,12,10,40
img-107-133186t2.jpg,烧腊盖饭,50.2%,0.01,650,35,30,55
img-107-139659t1.jpg,烧腊盖饭,99.7%,0.01,650,35,30,55
img-107-139659t2.jpg,烧腊盖饭,50.3%,0.01,650,35,30,55
img-107-201733t1.jpg,烧腊盖饭,99.9%,0.01,650,35,30,55
img-107-201733t2.jpg,烧腊盖饭,93.9%,0.01,650,35,30,55
img-107-249248t1.jpg,烧腊盖饭,41.6%,0.01,650,35,30,55
img-107-249248t2.jpg,卤肉饭,81.3%,0.01,600,25,30,55
img-107-250234t1.jpg,烧腊盖饭,99.7%,0.01,650,35,30,55
img-107-250234t2.jpg,烧腊盖饭,91.8%,0.01,650,35,30,55
img-107-250261t1.jpg,烧腊盖饭,59.2%,0.01,650,35,30,55
img-107-250261t2.jpg,炖豆腐,75.7%,0.01,150,12,8,10
img-107-309765t1.jpg,山药蒸排骨,58.3%,0.01,250,20,15,12
img-107-309765t2.jpg,烧腊盖饭,96.5%,0.01,650,35,30,55
img-107-81234t1.jpg,烧腊盖饭,60.3%,0.01,650,35,30,55
img-107-81234t2.jpg,烧腊盖饭,93.6%,0.01,650,35,30,55
img-107-81301t1.jpg,烧腊盖饭,68.3%,0.01,650,35,30,55
img-107-81301t2.jpg,烧腊盖饭,53.0%,0.01,650,35,30,55
img-107-81367t1.jpg,奶油蛋糕,50.7%,0.01,350,6,20,40
img-107-81367t2.jpg,肉酱盖饭,72.8%,0.01,600,26,20,75
img-108-11199t1.jpg,土豆粉,57.3%,0.01,200,5,6,35
img-108-11199t2.jpg,土豆粉,99.2%,0.01,200,5,6,35
img-108-14470t1.jpg,炒菠菜,81.0%,0.01,80,5,4,8
img-108-14470t2.jpg,综合蔬菜汤,41.0%,0.01,80,3,1,14
img-108-14752t1.jpg,面条,58.0%,0.01,280,9,2,55
img-108-14752t2.jpg,荞麦面,100.0%,0.01,180,8,2,35
img-108-15070t1.jpg,土豆粉,99.8%,0.01,200,5,6,35
img-108-15070t2.jpg,土豆粉,99.8%,0.01,200,5,6,35
img-108-1893t1.jpg,土豆粉,100.0%,0.01,200,5,6,35
img-108-1893t2.jpg,土豆粉,99.9%,0.01,200,5,6,35
img-108-1894t1.jpg,土豆粉,98.4%,0.01,200,5,6,35
img-108-1894t2.jpg,土豆粉,98.6%,0.01,200,5,6,35
img-108-1908t1.jpg,土豆粉,65.5%,0.01,200,5,6,35
img-108-1908t2.jpg,土豆粉,96.1%,0.01,200,5,6,35
img-108-1915t1.jpg,土豆粉,85.7%,0.01,200,5,6,35
img-108-1915t2.jpg,土豆粉,90.1%,0.01,200,5,6,35
img-108-1923t1.jpg,土豆粉,100.0%,0.01,200,5,6,35
img-108-1923t2.jpg,土豆粉,100.0%,0.01,200,5,6,35
img-108-1927t1.jpg,土豆粉,98.9%,0.01,200,5,6,35
img-108-1927t2.jpg,土豆粉,99.4%,0.01,200,5,6,35
img-108-1936t1.jpg,土豆粉,99.2%,0.01,200,5,6,35
img-108-1936t2.jpg,土豆粉,99.9%,0.01,200,5,6,35
img-108-1937t1.jpg,土豆粉,100.0%,0.01,200,5,6,35
img-108-1937t2.jpg,土豆粉,96.5%,0.01,200,5,6,35
img-108-1946t1.jpg,土豆粉,98.4%,0.01,200,5,6,35
img-108-1946t2.jpg,土豆粉,99.8%,0.01,200,5,6,35
img-108-1947t1.jpg,土豆粉,94.2%,0.01,200,5,6,35
img-108-1947t2.jpg,土豆粉,99.7%,0.01,200,5,6,35
img-108-1949t1.jpg,土豆粉,52.1%,0.01,200,5,6,35
img-108-1949t2.jpg,土豆粉,59.3%,0.01,200,5,6,35
img-108-1966t1.jpg,土豆粉,97.2%,0.01,200,5,6,35
img-108-1966t2.jpg,土豆粉,56.1%,0.01,200,5,6,35
img-108-1978t1.jpg,土豆粉,71.8%,0.01,200,5,6,35
img-108-1978t2.jpg,卤肉面,63.2%,0.01,550,22,25,55
img-109-123698t1.jpg,沙嗲,41.8%,0.01,200,20,12,5
img-109-123698t2.jpg,红烧肉盖饭,97.3%,0.01,700,40,35,60
img-109-133187t1.jpg,红烧肉盖饭,74.8%,0.01,700,40,35,60
img-109-133187t2.jpg,红烧肉盖饭,72.6%,0.01,700,40,35,60
img-109-133273t1.jpg,红烧肉盖饭,97.5%,0.01,700,40,35,60
img-109-133273t2.jpg,红烧肉盖饭,96.6%,0.01,700,40,35,60
img-109-243669t1.jpg,西式风味盖饭,54.0%,0.01,500,25,20,55
img-109-243669t2.jpg,红烧肉盖饭,95.2%,0.01,700,40,35,60
img-109-243887t1.jpg,卤肉饭,98.5%,0.02,600,25,30,55
img-109-243887t2.jpg,卤肉饭,79.1%,0.02,600,25,30,55
img-109-244043t1.jpg,红烧肉盖饭,99.7%,0.02,700,40,35,60
img-109-244043t2.jpg,红烧肉盖饭,98.2%,0.03,700,40,35,60
img-109-244792t1.jpg,红烧肉盖饭,99.0%,0.01,700,40,35,60
img-109-244792t2.jpg,红烧肉盖饭,41.2%,0.01,700,40,35,60
img-109-244854t1.jpg,红烧肉盖饭,81.5%,0.01,700,40,35,60
img-109-244854t2.jpg,红烧肉盖饭,63.5%,0.01,700,40,35,60
img-109-245639t1.jpg,红烧肉盖饭,45.5%,0.01,700,40,35,60
img-109-245639t2.jpg,红烧肉盖饭,68.6%,0.01,700,40,35,60
img-109-246421t1.jpg,红烧肉盖饭,98.2%,0.01,700,40,35,60
img-109-246421t2.jpg,红烧肉盖饭,100.0%,0.01,700,40,35,60
img-109-266485t1.jpg,红烧肉盖饭,99.9%,0.01,700,40,35,60
img-109-266485t2.jpg,红烧肉盖饭,99.9%,0.01,700,40,35,60
img-109-312141t1.jpg,印尼鸡肉粥,87.4%,0.01,200,15,8,20
img-109-312141t2.jpg,红烧肉盖饭,98.8%,0.01,700,40,35,60
img-109-312300t1.jpg,红烧肉盖饭,95.0%,0.01,700,40,35,60
img-109-312300t2.jpg,红烧肉盖饭,88.0%,0.01,700,40,35,60
img-109-312305t1.jpg,红烧肉盖饭,89.9%,0.01,700,40,35,60
img-109-312305t2.jpg,红烧肉盖饭,95.1%,0.01,700,40,35,60
img-109-312343t1.jpg,红烧肉盖饭,98.3%,0.01,700,40,35,60
img-109-312343t2.jpg,红烧肉盖饭,71.7%,0.01,700,40,35,60
img-109-65891t1.jpg,红烧肉盖饭,91.4%,0.01,700,40,35,60
img-109-65891t2.jpg,红烧肉盖饭,77.8%,0.01,700,40,35,60
img-11-183792t1.jpg,汤面,95.8%,0.01,350,12,10,45
img-11-183792t2.jpg,汤面,100.0%,0.01,350,12,10,45
img-11-183942t1.jpg,汤面,98.8%,0.01,350,12,10,45
img-11-183942t2.jpg,汤面,85.1%,0.01,350,12,10,45
img-11-264613t1.jpg,汤面,24.8%,0.01,350,12,10,45
img-11-264613t2.jpg,汤面,22.1%,0.01,350,12,10,45
img-11-264630t1.jpg,汤面,94.8%,0.01,350,12,10,45
img-11-264630t2.jpg,汤面,99.9%,0.01,350,12,10,45
img-11-264638t1.jpg,汤面,100.0%,0.01,350,12,10,45
img-11-264638t2.jpg,卤肉面,32.8%,0.01,550,22,25,55
img-11-264705t1.jpg,汤面,75.4%,0.01,350,12,10,45
img-11-264705t2.jpg,汤面,93.5%,0.01,350,12,10,45
img-11-264726t1.jpg,汤面,60.2%,0.01,350,12,10,45
img-11-264726t2.jpg,汤面,81.7%,0.01,350,12,10,45
img-11-264749t1.jpg,卤肉面,53.3%,0.01,550,22,25,55
img-11-264749t2.jpg,卤肉面,82.0%,0.01,550,22,25,55
img-11-264755t1.jpg,汤面,99.6%,0.01,350,12,10,45
img-11-264755t2.jpg,汤面,99.9%,0.01,350,12,10,45
img-11-264952t1.jpg,卤肉饭,92.6%,0.01,600,25,30,55
img-11-264952t2.jpg,卤肉饭,94.8%,0.01,600,25,30,55
img-11-265006t1.jpg,石锅拌饭,76.5%,0.01,550,20,18,70
img-11-265006t2.jpg,汤面,100.0%,0.01,350,12,10,45
img-11-265032t1.jpg,排骨汤,98.6%,0.01,150,15,8,5
img-11-265032t2.jpg,蛋花汤,82.0%,0.01,60,4,3,4
img-11-265039t1.jpg,炖豆腐,67.1%,0.01,150,12,8,10
img-11-265039t2.jpg,炖豆腐,74.3%,0.01,150,12,8,10
img-11-265065t1.jpg,汤面,99.1%,0.01,350,12,10,45
img-11-265065t2.jpg,汤面,99.1%,0.01,350,12,10,45
img-11-76528t1.jpg,汤面,100.0%,0.01,350,12,10,45
img-11-76528t2.jpg,烧腊盖饭,32.6%,0.01,650,35,30,55
img-11-76641t1.jpg,什锦蔬菜汤,29.7%,0.01,120,4,3,18
img-11-76641t2.jpg,什锦蔬菜汤,34.7%,0.01,120,4,3,18
img-11-76742t1.jpg,汤面,100.0%,0.01,350,12,10,45
img-11-76742t2.jpg,汤面,100.0%,0.01,350,12,10,45
img-110-115904t1.jpg,咖喱面,30.4%,0.01,450,18,20,50
img-110-115904t2.jpg,混沌,95.3%,0.01,300,15,12,35
img-110-115922t1.jpg,土豆沙拉,44.1%,0.01,150,4,8,15
img-110-115922t2.jpg,混沌,98.3%,0.01,300,15,12,35
img-110-115942t1.jpg,混沌,99.8%,0.01,300,15,12,35
img-110-115942t2.jpg,混沌,100.0%,0.01,300,15,12,35
img-110-116083t1.jpg,混沌,99.2%,0.01,300,15,12,35
img-110-116083t2.jpg,玉子烧,55.8%,0.01,150,12,10,5
img-110-116088t1.jpg,混沌,98.6%,0.01,300,15,12,35
img-110-116088t2.jpg,混沌,48.5%,0.01,300,15,12,35
img-110-116252t1.jpg,混沌,99.7%,0.01,300,15,12,35
img-110-116252t2.jpg,混沌,99.9%,0.01,300,15,12,35
